aa_000,ab_000,ac_000,ad_000,ae_000,af_000,ag_000,ag_001,ag_002,ag_003,ag_004,ag_005,ag_006,ag_007,ag_008,ag_009,ah_000,ai_000,aj_000,ak_000,al_000,am_0,an_000,ao_000,ap_000,aq_000,ar_000,as_000,at_000,au_000,av_000,ax_000,ay_000,ay_001,ay_002,ay_003,ay_004,ay_005,ay_006,ay_007,ay_008,ay_009,az_000,az_001,az_002,az_003,az_004,az_005,az_006,az_007,az_008,az_009,ba_000,ba_001,ba_002,ba_003,ba_004,ba_005,ba_006,ba_007,ba_008,ba_009,bb_000,bc_000,bd_000,be_000,bf_000,bg_000,bh_000,bi_000,bj_000,bk_000,bl_000,bm_000,bn_000,bo_000,bp_000,bq_000,br_000,bs_000,bt_000,bu_000,bv_000,bx_000,by_000,bz_000,ca_000,cb_000,cc_000,cd_000,ce_000,cf_000,cg_000,ch_000,ci_000,cj_000,ck_000,cl_000,cm_000,cn_000,cn_001,cn_002,cn_003,cn_004,cn_005,cn_006,cn_007,cn_008,cn_009,co_000,cp_000,cq_000,cr_000,cs_000,cs_001,cs_002,cs_003,cs_004,cs_005,cs_006,cs_007,cs_008,cs_009,ct_000,cu_000,cv_000,cx_000,cy_000,cz_000,da_000,db_000,dc_000,dd_000,de_000,df_000,dg_000,dh_000,di_000,dj_000,dk_000,dl_000,dm_000,dn_000,do_000,dp_000,dq_000,dr_000,ds_000,dt_000,du_000,dv_000,dx_000,dy_000,dz_000,ea_000,eb_000,ec_00,ed_000,ee_000,ee_001,ee_002,ee_003,ee_004,ee_005,ee_006,ee_007,ee_008,ee_009,ef_000,eg_000
912384,na,na,na,na,na,0,0,0,0,12410,3444142,46023314,16217464,522104,9322,25738014,25152,58,na,0,0,48265972,37880966,20583684,10167390,na,0,3108,0,na,na,0,0,0,0,0,3732294,28207790,33031304,1257368,0,181192,185874,771600,45584242,18835804,670044,0,0,0,0,14569932,15183546,5093226,4697956,4344838,4549974,5979774,11333846,475658,6,68855276,na,na,na,na,25738014,993618,8645906,11879130,397540,345240,315160,380820,346880,341660,404160,357020,315460,912384.2,68855276,68855276,68904822,526669,na,na,1010980,66228756,1209600,na,na,na,na,55478685.12,0,10707326.4,na,na,0,0,0,130734,11972804,38796712,13979888,1181270,150978,16370,na,na,68855276,na,74452,13146,5635620,5276366,30592078,23530886,1102126,4082,0,0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,655456,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,10887134,15039430,7958290,3800292,8566444,8613822,5996898,2777986,2539192,49268,na,na
281324,2,3762,2346,0,0,4808,215720,967572,2037438,3416030,1725790,297726,26190,0,0,10093048,80772,0,0,3166680,6330452,14884214,13362180,9595596,4032312,2,0,0,0,17598,4170,0,0,0,0,0,0,86034,4767914,3837326,0,8004,5118,8170,16648,479842,4227768,2128916,1816808,0,0,4705858,1243830,778766,430078,298428,217722,191462,215096,85502,524532,27646704,5200,4896,3234,2,10093048,341440,1448608,8125930,611500,410680,521600,413300,377500,494900,431300,433620,562160,281324.17,27646704,27646704,27550424,39242,1766,92132,1024200,27168776,1209600,483824,0,214,0,15545869.44,5166424.32,6444276.48,374,932,629304,1071282,1876542,1275236,1231160,775526,803530,578972,377102,72620,254,364,27646704,0,2732,306,825600,2382658,505540,2839350,2125232,9818,38,0,3856,6116,12914046,3518170,0,5810,0,0,13142782,17832,3246,0,0,2910,5171790,0,0,0,0,298434,85778,17294,23960460,3594930,518438,92678,218540,35036,15504960,90628,0,0,4983910,886.02,828,3787316,926638,624606,269976,638838,1358354,819918,262804,2824,0,0,0
43482,0,1534,1388,0,0,0,0,40024,493856,6831358,12916128,6733314,794698,4422,0,10301516,11296,44,0,728878,2036492,13602734,5508070,18848456,7723186,26,0,0,0,7306,348,0,0,0,0,0,0,0,291972,27339768,182060,49192,6756,7406,13782,31330,1890822,23399636,1680894,733982,0,24307974,2434536,504640,274042,107830,77106,60000,42816,4410,446,33186736,29510,34446,3802,4,10301516,461414,4125432,14710494,802880,790060,783560,749440,710040,524280,748940,745040,319560,43482.96,33186736,33186736,32428662,33960,6690,93132,465360,27853888,1209600,753376,0,940,0,6318933.12,18649909.44,2790524.16,82,8528,9608,125408,3091456,8224430,11605136,3766466,563668,313436,112250,1942,72,244,33186736,0,62352,8918,6363150,11463308,1798226,5380020,2630820,106804,202,0,2274,702,4572798,731960,0,358,0,0,7006946,146456,16028,1217240,20880422,0,0,0,0,0,0,481666,3130,420,0,0,161020,21988,12160,8128,0,0,0,0,3482750,17760.86,20336,22205204,3909586,497196,121166,202272,232636,645690,50,0,0,0,0
406084,0,12182,na,0,0,4372,140526,813320,1929702,3330912,4614594,1811208,655996,42946,468,14076696,73282,2206,na,3359090,4594492,26575558,25798936,8264578,3583220,38,0,0,0,17404,2360,0,0,0,0,0,0,648976,8448930,4246138,0,114628,78614,131644,170284,3154200,6827316,1915328,952030,0,0,6491264,1809280,1239070,873826,694672,529726,405010,324398,165838,810960,38198706,3666,14444,8838,0,14076696,415094,2099426,6138608,287600,387920,337120,430120,369340,482500,359220,252700,142780,406084.22,38198706,38198706,32170588,67267,33156,na,677900,31417354,1209600,861952,na,na,na,26486839.68,0,10309877.76,4100,7032,455934,810974,1125042,1687980,3472086,2358236,1819364,1173036,404770,36622,na,1110,38198706,0,5436,624,1129158,3250118,660294,5322082,2911476,64618,238,0,11958,30540,23144100,6789044,1200,102858,0,0,24532044,47490,2112,na,na,na,na,na,na,na,na,266328,80864,18182,29049706,6357446,632636,130338,5943880,718400,24327480,41270,0,0,na,2029.22,1688,4734878,2124536,1232302,545414,997594,1786530,1118296,767068,37398,28,0,0
61478,na,134,0,0,0,0,0,0,0,2050,243970,2792678,1074832,20082,0,1595330,0,0,0,0,0,3581692,3042536,713500,446750,0,0,0,0,308,56,0,0,0,0,0,0,1813522,2206772,113318,0,3266,2448,2704,82224,2946888,1095082,1000,0,0,0,1791048,819774,479372,361380,339856,270232,71950,0,0,0,4296150,0,180,118,12,1595330,42012,335302,372846,174100,181040,235280,na,na,na,na,na,113020,61478.3,4296150,4296150,4273520,21519,21182,58982,657400,4133612,1209600,99164,0,0,0,3722620.8,0,406523.52,0,0,0,0,0,12540,1268392,1893500,900878,49122,8568,612,0,70,4296150,na,6164,836,44400,253032,208296,3214898,394876,11074,36,0,0,0,0,0,0,0,0,0,0,2588,306,0,0,0,0,0,0,0,0,26894,54410,10122,0,0,132418,16682,14875360,1642370,0,0,0,0,2986370,1596.12,1872,431360,746196,632856,410326,1130874,535990,205766,39694,550,0,0,0
81354,na,2130706432,156,0,0,0,0,0,0,62040,1400952,2456958,1118832,51630,3178,2070562,0,0,0,0,0,4596110,4069568,675416,433146,0,0,0,0,376,82,0,0,0,0,0,34236,1893318,2995340,170696,0,2624,1288,1878,9918,2121224,2896480,60178,0,0,0,1616900,1216922,489244,456698,440320,361498,286520,174382,35066,16040,5272338,124,62,606,24,2070562,52364,377818,295922,152660,142340,136320,187480,na,na,na,na,47760,81353.13,5272338,5272338,5270604,31834,184,37212,423080,5093590,1209600,123526,2,174,0,4502029.44,0,588383.04,0,0,0,0,12152,746728,1882344,1972208,450310,25334,4410,104,2,28,5272338,na,6824,732,101788,278290,198414,3723608,756266,27532,136,0,274,246,4226942,12510,0,22006,0,0,4559134,3106,332,0,0,0,0,0,0,0,0,29986,134770,44262,0,0,97042,15054,19199000,1943262,0,0,0,0,2401220,1804.24,1962,626152,657560,627610,376028,931828,1035236,674626,161266,3284,0,0,0
39308,na,452,374,0,0,0,0,0,0,3564,1275494,945004,149572,10804,3286,1238598,0,0,0,0,0,2031012,1706484,474960,280228,0,0,604,0,418,474,0,0,0,0,0,193872,1681636,219336,292880,0,1296,640,788,18848,1465362,900230,558,2,0,0,780152,538194,214098,180758,157234,151218,295156,70914,0,0,2506358,1804,1404,558,0,1238598,41812,249496,223232,212280,245540,na,na,na,na,na,na,12900,39307.21,2506358,2506358,2496962,15912,24312,5000,82660,2387724,1209600,74434,0,74,0,2146939.2,0,239264.64,0,0,0,0,0,214574,1341536,687642,122962,17056,3696,258,60,66,2506358,na,3002,406,48640,169990,63122,1256392,834160,11904,108,0,796,1348,1528060,122364,70,17848,0,0,2158982,1980,170,0,0,0,0,0,0,0,0,23322,42962,7216,0,0,82962,11536,1262420,267838,0,0,0,0,711500,786.42,884,258642,386988,312426,161694,323438,292350,250112,157636,234932,9506,0,0
14,0,2,2,0,0,0,0,0,408,3274,614,2336,0,0,0,2392,0,0,0,284,412,12308,11214,3964,260,0,0,0,0,2,10,0,0,0,0,0,0,0,1030,5602,0,122,2,2,374,666,126,4936,4,400,0,4940,574,98,84,218,86,64,458,32,78,16584,0,0,0,0,2392,104,3108,848,na,na,na,na,na,na,na,na,3900,13.43,16584,16584,17844,21,0,1606,16460,6676,1209600,268,2,2,0,2106.24,0,3427.2,0,14,0,376,3172,214,1642,646,580,2,0,0,0,4,16584,0,1100,12,14,46,1458,1026,2136,838,2,0,4,46,2026,38,0,0,0,0,2434,28,44,0,0,0,0,0,0,0,0,124,0,0,0,0,28,10,6160,788,0,0,0,0,0,1.26,42,4648,1622,132,44,80,52,54,0,0,0,0,0
0,2,0,0,0,0,0,0,0,0,14,1772,1036,0,0,0,554,0,36,0,0,0,5494,4024,7772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,894,1928,0,1154,2,10,4,0,1108,544,0,0,0,1990,26,8,246,28,474,32,18,0,0,13290,4,12,14,0,554,84,7070,658,na,na,na,na,na,na,na,na,7680,0.94,13290,13290,16318,13,0,1276,13140,2884,1209600,2,0,0,0,48.96,0,1741.44,0,22,0,0,0,824,1994,4,0,0,0,0,0,116,13290,0,1080,8,28,8,4,96,1598,0,0,0,0,0,116,0,0,8,0,0,174,10,298,0,0,0,0,0,0,0,0,166,0,0,0,0,0,0,0,0,0,0,0,0,0,125.74,52,2782,40,0,0,0,0,0,0,0,0,0,0
32,0,0,na,0,0,0,0,0,0,14,4032,4960,0,0,0,1984,0,0,0,0,0,20170,18096,37028,694,0,0,0,0,0,0,0,0,0,0,0,0,0,1320,7686,0,82,24,32,348,828,2908,4784,0,0,0,6562,880,706,138,322,380,12,6,0,0,57202,4,0,2,0,1984,134,35606,1416,na,na,na,na,na,na,na,na,36880,32.67,57202,57202,59564,26,0,5640,57040,9040,1209600,240,na,na,na,2770.56,0,5111.04,0,10,0,0,0,1326,6838,842,0,0,0,0,na,4,57202,0,1186,16,8,228,284,3994,2894,396,0,0,na,na,na,na,na,na,na,na,na,48,46,0,0,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,93.74,30,6298,1440,258,98,224,166,36,486,0,0,0,0
153002,na,664,186,0,0,0,0,0,2564,59100,1603216,6015982,1968266,164972,12560,4880368,0,280,0,1224,2114,8913782,7998174,1929126,776370,2,0,0,0,3328,1080,0,0,0,0,0,45114,2533260,2542338,4705948,0,7620,3470,4506,7466,60160,9737500,5938,0,0,0,3245782,2124728,917904,744468,580332,446850,496786,1264596,5214,0,10845228,1304,1206,1606,14,4880368,129760,1244058,678792,263320,221620,221100,245580,152420,212500,151980,199220,247880,153001.45,10845228,10845228,10850870,71618,64462,108200,1153820,9826660,1209600,243498,0,84,0,8289544.32,0,1529548.8,102,2360,0,860,16808,404890,3156012,5101686,1080888,56042,9214,260,224,574,10845228,na,12450,1270,138036,1107360,425276,5875496,2230222,36428,122,0,344,742,1760956,23486,0,146,0,0,1872932,4936,1600,0,0,0,0,0,0,0,0,62846,137050,27546,0,0,265640,54496,470800,293652,0,0,0,0,80125300,2912.04,2858,1608808,1479066,998500,566884,1290398,1218244,1019768,717762,898642,28588,0,0
2286,na,2130706538,224,0,0,0,0,0,0,104,99186,36564,128,0,0,56982,0,0,0,0,0,123604,108768,24020,11622,0,0,0,0,192,56,0,0,0,0,0,4610,99120,11292,20960,0,1238,28,28,34,276,134204,174,0,0,0,44228,60952,17376,8610,2990,1048,592,186,0,0,147638,2,14,716,0,56982,1900,14404,9572,na,na,na,na,na,na,na,na,23720,2285.92,147638,147638,150094,525,294,14558,147260,135982,1209600,3126,2,4,0,123344.64,0,11387.52,0,28,0,0,0,61572,63554,10126,602,128,0,0,0,6,147638,na,1340,32,3606,9664,2112,40190,75776,3066,196,0,330,214,123730,66850,0,18,0,10,124152,114,56,0,0,0,0,0,0,0,0,1066,808,600,0,0,2450,510,823720,82346,16440,20,0,0,1285980,80.4,82,13934,15024,10578,6760,21126,68424,136,0,0,0,0,0
112,0,2130706432,18,0,0,0,0,0,0,28,11592,11538,0,0,0,8784,0,0,0,0,0,29698,23762,13970,874,0,0,0,0,36,20,0,0,0,0,0,0,0,704,22454,0,782,524,916,3940,924,13632,2440,0,0,0,18542,2236,856,490,162,424,234,158,20,36,43738,6,10,2,0,8784,480,7640,6224,na,na,na,na,na,na,na,na,13440,112.49,43738,43738,44562,83,0,4138,42880,23310,1209600,630,2,0,0,7518.72,4221.12,10493.76,22,96,0,0,0,3956,14690,4040,464,8,0,0,0,68,43738,0,1034,24,72,518,5348,14382,1772,8,0,0,38,36,8864,2482,0,184,0,0,8864,148,74,0,7042,0,0,0,0,0,0,622,0,0,4544,2398,162,58,7920,784,9112,0,0,0,0,2.76,134,15876,2740,792,386,452,144,146,2622,0,0,0,0
80292,na,2130706432,494,0,0,0,0,0,0,330,202498,3251010,2061456,360436,59754,2634394,0,0,0,0,0,4543410,3227856,1615634,1214970,0,0,57300,0,2124,1090,0,0,0,0,0,119742,4445146,1370596,0,0,5518,4092,4534,10448,940376,4970242,274,0,0,0,2154166,1022460,385878,287818,239818,265302,552874,1027168,0,0,6159728,64,78,424,70,2634394,105862,580084,1032454,302700,332300,308960,282140,362360,na,na,na,18940,80292.76,6159728,6159728,6092764,50665,102012,3012,103140,5935484,1209600,240008,2,122,0,4776505.92,106006.08,1048805.76,0,1254,0,0,0,11460,760936,3250610,1761252,133594,16210,1422,580,696,6159728,na,7380,868,333922,700650,388092,3174954,1312814,16748,56,0,670,4492,2200048,114978,0,172,0,22,4858834,5598,284,0,0,190,106152,0,0,0,0,79230,37162,18388,0,0,166748,40564,25232340,5648346,0,0,0,0,39881280,1659.7,1908,1180714,1709450,699352,222654,347378,225724,194440,165070,802280,388422,0,0
40222,na,698,628,0,0,0,0,0,0,1226,46284,1901140,855376,61744,6318,1235850,1926,474,0,0,0,2502090,2109168,573660,334864,0,0,0,0,2260,266,0,0,0,0,0,105702,1433988,1205298,127100,0,3298,2162,3654,219406,2115972,527578,18,0,0,0,1035916,485312,271670,244150,220858,197840,224530,191788,24,0,3076406,84,152,98,2,1235850,37110,310028,260378,191320,268280,na,na,na,na,na,na,107280,40221.06,3076406,3076406,3075902,20954,0,61016,649940,2872088,1209600,85760,0,120,0,2480113.92,0,389530.56,0,0,0,0,0,32,497028,1708490,628690,30774,6542,532,6,14,3076406,na,4526,562,81228,195104,284388,2064878,233308,8082,12,0,936,720,2453708,9240,18,3104,0,0,2506446,2116,214,0,0,0,0,0,0,0,0,21454,25034,4644,0,0,79872,14390,152740,17080,0,0,0,0,39221060,1035.22,1256,409798,686416,440066,183200,344546,254068,225148,158304,170384,158,0,0
